Saint,Miracle,Feat,Other Factoids,Something Fishy,Sources
Jacut,,,,,wikipedia as interpreted by spellsoftruth
Jadwiga_of_Poland,,,,,wikipedia as interpreted by spellsoftruth
Jaime_Hilario_Barbal,,,,,wikipedia as interpreted by spellsoftruth
Jakob_Gapp,,,,,wikipedia as interpreted by spellsoftruth
"Jakov,_Serbian_Archbishop",,,,,wikipedia as interpreted by spellsoftruth
"James,_Azadanus_and_Abdicius",,,,,wikipedia as interpreted by spellsoftruth
"James,_brother_of_Jesus",,,,,wikipedia as interpreted by spellsoftruth
"James,_son_of_Alphaeus",,,,,wikipedia as interpreted by spellsoftruth
"James,_son_of_Zebedee",,,,,wikipedia as interpreted by spellsoftruth
James_Alberione,,,,,wikipedia as interpreted by spellsoftruth
James_Claxton,,,,,wikipedia as interpreted by spellsoftruth
James_DeKoven,,,,,wikipedia as interpreted by spellsoftruth
James_Duckett,,,,,wikipedia as interpreted by spellsoftruth
James_Fenn,,,,,wikipedia as interpreted by spellsoftruth
James_Hannington,,,,,wikipedia as interpreted by spellsoftruth
James_Huntington,,,,,wikipedia as interpreted by spellsoftruth
James_Intercisus,,,,,wikipedia as interpreted by spellsoftruth
James_Kisai,,,,,wikipedia as interpreted by spellsoftruth
James_Lacop,,,,,wikipedia as interpreted by spellsoftruth
James_Lloyd_Breck,,,,,wikipedia as interpreted by spellsoftruth
James_Nam,,,,,wikipedia as interpreted by spellsoftruth
James_Salomoni,,,,,wikipedia as interpreted by spellsoftruth
James_Thompson_(martyr),,,,,wikipedia as interpreted by spellsoftruth
James_of_Manug,,,,,wikipedia as interpreted by spellsoftruth
James_of_Ulm,,,,,wikipedia as interpreted by spellsoftruth
James_of_Viterbo,,,,,wikipedia as interpreted by spellsoftruth
James_of_the_March,,,,,wikipedia as interpreted by spellsoftruth
James_of_the_Marches,,,,,wikipedia as interpreted by spellsoftruth
James_the_Deacon,,,,,wikipedia as interpreted by spellsoftruth
James_the_Solitary,,,,,wikipedia as interpreted by spellsoftruth
Jan_Beyzym,,,,,wikipedia as interpreted by spellsoftruth
Jan_Sarkander,,,,,wikipedia as interpreted by spellsoftruth
Jan_Wojciech_Balicki,,,,,wikipedia as interpreted by spellsoftruth
Jane_Frances_de_Chantal,,,,,wikipedia as interpreted by spellsoftruth
Jane_of_Aza,,,,,wikipedia as interpreted by spellsoftruth
Janina_Szymkowiak,,,,,wikipedia as interpreted by spellsoftruth
Januarius,,,,,wikipedia as interpreted by spellsoftruth
Jason_of_Tarsus,,,,,wikipedia as interpreted by spellsoftruth
Jean-Baptiste_de_La_Salle,,,,,wikipedia as interpreted by spellsoftruth
Jean-Charles_Cornay,,,,,wikipedia as interpreted by spellsoftruth
Jean-Louis_Bonnard,,,,,wikipedia as interpreted by spellsoftruth
Jean_Bourdon,,,,,wikipedia as interpreted by spellsoftruth
Jean_de_Br%C3%A9beuf,,,,,wikipedia as interpreted by spellsoftruth
Jean_de_Lalande,,,,,wikipedia as interpreted by spellsoftruth
Jeanne-Antide_Thouret,,,,,wikipedia as interpreted by spellsoftruth
Jeanne-Marie_de_Maille,,,,,wikipedia as interpreted by spellsoftruth
Jeanne_Delanoue,,,,,wikipedia as interpreted by spellsoftruth
Jeanne_Jugan,,,,,wikipedia as interpreted by spellsoftruth
Jeanne_de_Lestonnac,,,,,wikipedia as interpreted by spellsoftruth
Jenaro_S%C3%A1nchez_Delgadillo,,,,,wikipedia as interpreted by spellsoftruth
Jenaro_Sanchez_Delgadillo,,,,,wikipedia as interpreted by spellsoftruth
Jerome,,,,,wikipedia as interpreted by spellsoftruth
Jerome_de_Angelis,,,,,wikipedia as interpreted by spellsoftruth
Jerzy_Popieluszko,,,,,wikipedia as interpreted by spellsoftruth
Jevstatije_I,,,,,wikipedia as interpreted by spellsoftruth
Jevstatije_II,,,,,wikipedia as interpreted by spellsoftruth
Joachim,,,,,wikipedia as interpreted by spellsoftruth
Joachim_the_Korsunian,,,,,wikipedia as interpreted by spellsoftruth
Joan_Antidea_Thouret,,,,,wikipedia as interpreted by spellsoftruth
Joan_Elizabeth_Bichier_des_%C3%82ges,,,,,wikipedia as interpreted by spellsoftruth
Joan_Elizabeth_Bichier_des_Ages,,,,,wikipedia as interpreted by spellsoftruth
Joan_of_Arc,,,,,wikipedia as interpreted by spellsoftruth
Joan_of_Aza,,,,,wikipedia as interpreted by spellsoftruth
"Joan_of_France,_Duchess_of_Berry",,,,,wikipedia as interpreted by spellsoftruth
"Joanna,_Princess_of_Portugal",,,,,wikipedia as interpreted by spellsoftruth
Joannicius_the_Great,,,,,wikipedia as interpreted by spellsoftruth
Joaquina_Vedruna_de_Mas,,,,,wikipedia as interpreted by spellsoftruth
Joasaph_of_Belgorod,,,,,wikipedia as interpreted by spellsoftruth
Job_of_Maniava,,,,,wikipedia as interpreted by spellsoftruth
Job_of_Manyava,,,,,wikipedia as interpreted by spellsoftruth
Job_of_Pochayev,,,,,wikipedia as interpreted by spellsoftruth
Job_of_Pochayiv,,,,,wikipedia as interpreted by spellsoftruth
Johann_Nepomuk_von_Tschiderer_zu_Gleifheim,,,,,wikipedia as interpreted by spellsoftruth
Johannes_Karhap%C3%A4%C3%A4,,,,,wikipedia as interpreted by spellsoftruth
John-Gabriel_Perboyre,,,,,wikipedia as interpreted by spellsoftruth
John_Adams_(Blessed),,,,,wikipedia as interpreted by spellsoftruth
John_Alcober,,,,,wikipedia as interpreted by spellsoftruth
John_Almond_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Baptist_Bullaker,,,,,wikipedia as interpreted by spellsoftruth
John_Baptist_Con,,,,,wikipedia as interpreted by spellsoftruth
John_Baptist_Y,,,,,wikipedia as interpreted by spellsoftruth
John_Baptist_Yi_Kwang-nyol,,,,,wikipedia as interpreted by spellsoftruth
John_Baptist_de_La_Salle,,,,,wikipedia as interpreted by spellsoftruth
John_Baptist_de_Rossi,,,,,wikipedia as interpreted by spellsoftruth
John_Beche,,,,,wikipedia as interpreted by spellsoftruth
John_Berchmans,,,,,wikipedia as interpreted by spellsoftruth
John_Bodey,,,,,wikipedia as interpreted by spellsoftruth
John_Bosco,,,,,wikipedia as interpreted by spellsoftruth
John_Boste,,,,,wikipedia as interpreted by spellsoftruth
John_Cantius,,,,,wikipedia as interpreted by spellsoftruth
John_Carey_(blessed),,,,,wikipedia as interpreted by spellsoftruth
John_Cassian,,,,,wikipedia as interpreted by spellsoftruth
John_Chrysostom,,,,,wikipedia as interpreted by spellsoftruth
John_Climacus,,,,,wikipedia as interpreted by spellsoftruth
John_Colombini,,,,,wikipedia as interpreted by spellsoftruth
John_Cornelius_(priest),,,,,wikipedia as interpreted by spellsoftruth
John_Dat,,,,,wikipedia as interpreted by spellsoftruth
John_Davy_(Blessed),,,,,wikipedia as interpreted by spellsoftruth
John_Dominici,,,,,wikipedia as interpreted by spellsoftruth
John_Duckett,,,,,wikipedia as interpreted by spellsoftruth
John_Eudes,,,,,wikipedia as interpreted by spellsoftruth
John_Eynon,,,,,wikipedia as interpreted by spellsoftruth
John_Felton_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Fenwick_(Jesuit),,,,,wikipedia as interpreted by spellsoftruth
John_Finch_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Fisher,,,,,wikipedia as interpreted by spellsoftruth
John_Forest,,,,,wikipedia as interpreted by spellsoftruth
John_Francis_Regis,,,,,wikipedia as interpreted by spellsoftruth
John_Gabriel_Perboyre,,,,,wikipedia as interpreted by spellsoftruth
John_Gabriel_Taurin_Dufresse,,,,,wikipedia as interpreted by spellsoftruth
John_Gaspard_Cratz,,,,,wikipedia as interpreted by spellsoftruth
John_Gualbert,,,,,wikipedia as interpreted by spellsoftruth
John_Haile,,,,,wikipedia as interpreted by spellsoftruth
John_Hambley_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Henry_Newman,,,,,wikipedia as interpreted by spellsoftruth
John_Houghton_(martyr),,,,,wikipedia as interpreted by spellsoftruth
"John_II,_Bishop_of_Jerusalem",,,,,wikipedia as interpreted by spellsoftruth
John_III_Doukas_Vatatzes,,,,,wikipedia as interpreted by spellsoftruth
John_III_of_the_Sedre,,,,,wikipedia as interpreted by spellsoftruth
John_IV_(bishop_of_Naples),,,,,wikipedia as interpreted by spellsoftruth
John_IV_of_Constantinople,,,,,wikipedia as interpreted by spellsoftruth
John_Ingram_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Jones_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Joseph_of_the_Cross,,,,,wikipedia as interpreted by spellsoftruth
John_Kemble_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Kochurov,,,,,wikipedia as interpreted by spellsoftruth
John_Koukouzelis,,,,,wikipedia as interpreted by spellsoftruth
John_Lantrua_of_Triora,,,,,wikipedia as interpreted by spellsoftruth
John_Leonardi,,,,,wikipedia as interpreted by spellsoftruth
John_Lockwood_(priest),,,,,wikipedia as interpreted by spellsoftruth
John_Louis_Bonnard,,,,,wikipedia as interpreted by spellsoftruth
John_Macias,,,,,wikipedia as interpreted by spellsoftruth
John_Maron,,,,,wikipedia as interpreted by spellsoftruth
John_Mary_Mzec,,,,,wikipedia as interpreted by spellsoftruth
John_Mary_Vianney,,,,,wikipedia as interpreted by spellsoftruth
John_Morosini,,,,,wikipedia as interpreted by spellsoftruth
John_Moschus,,,,,wikipedia as interpreted by spellsoftruth
John_Nelson_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Nepomucene,,,,,wikipedia as interpreted by spellsoftruth
John_Neumann,,,,,wikipedia as interpreted by spellsoftruth
John_Nutter_(priest),,,,,wikipedia as interpreted by spellsoftruth
John_Ogilvie_(saint),,,,,wikipedia as interpreted by spellsoftruth
John_Patteson_(bishop),,,,,wikipedia as interpreted by spellsoftruth
John_Payne_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Pibush,,,,,wikipedia as interpreted by spellsoftruth
John_Plessington,,,,,wikipedia as interpreted by spellsoftruth
John_Rigby_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Roberts_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Roche_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Rugg,,,,,wikipedia as interpreted by spellsoftruth
John_Sandys,,,,,wikipedia as interpreted by spellsoftruth
John_Sarkander,,,,,wikipedia as interpreted by spellsoftruth
John_Scholasticus,,,,,wikipedia as interpreted by spellsoftruth
John_Schorne,,,,,wikipedia as interpreted by spellsoftruth
John_Scotus_(Bishop_of_Mecklenburg),,,,,wikipedia as interpreted by spellsoftruth
John_Selwyn_(bishop),,,,,wikipedia as interpreted by spellsoftruth
John_Shert,,,,,wikipedia as interpreted by spellsoftruth
John_Skinner_(poet),,,,,wikipedia as interpreted by spellsoftruth
John_Soan_de_Goto,,,,,wikipedia as interpreted by spellsoftruth
John_Southworth_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Speed_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Steward,,,,,wikipedia as interpreted by spellsoftruth
John_Stone_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Story_(martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Theristus,,,,,wikipedia as interpreted by spellsoftruth
John_Thorne_(Blessed),,,,,wikipedia as interpreted by spellsoftruth
John_Twenge,,,,,wikipedia as interpreted by spellsoftruth
John_V_of_Jerusalem,,,,,wikipedia as interpreted by spellsoftruth
John_Vianney,,,,,wikipedia as interpreted by spellsoftruth
John_Wall_(priest_and_martyr),,,,,wikipedia as interpreted by spellsoftruth
John_Yi_Yun-il,,,,,wikipedia as interpreted by spellsoftruth
John_and_Marcianus,,,,,wikipedia as interpreted by spellsoftruth
John_and_Paul,,,,,wikipedia as interpreted by spellsoftruth
John_dal_Bastone,,,,,wikipedia as interpreted by spellsoftruth
John_de_Britto,,,,,wikipedia as interpreted by spellsoftruth
John_de_Massias,,,,,wikipedia as interpreted by spellsoftruth
John_de_Ribera,,,,,wikipedia as interpreted by spellsoftruth
John_de_Urteca,,,,,wikipedia as interpreted by spellsoftruth
John_du_Lau,,,,,wikipedia as interpreted by spellsoftruth
John_of_%C3%81vila,,,,,wikipedia as interpreted by spellsoftruth
John_of_Avila,,,,,wikipedia as interpreted by spellsoftruth
John_of_Beverley,,,,,wikipedia as interpreted by spellsoftruth
John_of_Bridlington,,,,,wikipedia as interpreted by spellsoftruth
John_of_Capistrano,,,,,wikipedia as interpreted by spellsoftruth
John_of_Cologne,,,,,wikipedia as interpreted by spellsoftruth
John_of_Constantinople,,,,,wikipedia as interpreted by spellsoftruth
John_of_Dailam,,,,,wikipedia as interpreted by spellsoftruth
John_of_Damascus,,,,,wikipedia as interpreted by spellsoftruth
John_of_Dukla,,,,,wikipedia as interpreted by spellsoftruth
John_of_Egypt,,,,,wikipedia as interpreted by spellsoftruth
John_of_God,,,,,wikipedia as interpreted by spellsoftruth
John_of_Gorze,,,,,wikipedia as interpreted by spellsoftruth
John_of_Kanty,,,,,wikipedia as interpreted by spellsoftruth
John_of_Kronstadt,,,,,wikipedia as interpreted by spellsoftruth
John_of_La_Verna,,,,,wikipedia as interpreted by spellsoftruth
John_of_Lodi,,,,,wikipedia as interpreted by spellsoftruth
John_of_Matera,,,,,wikipedia as interpreted by spellsoftruth
John_of_Matha,,,,,wikipedia as interpreted by spellsoftruth
John_of_Meda,,,,,wikipedia as interpreted by spellsoftruth
John_of_Moscow,,,,,wikipedia as interpreted by spellsoftruth
John_of_Nepomuk,,,,,wikipedia as interpreted by spellsoftruth
John_of_Novgorod,,,,,wikipedia as interpreted by spellsoftruth
John_of_Osterwick,,,,,wikipedia as interpreted by spellsoftruth
John_of_Parma,,,,,wikipedia as interpreted by spellsoftruth
John_of_Patmos,,,,,wikipedia as interpreted by spellsoftruth
John_of_Pavia,,,,,wikipedia as interpreted by spellsoftruth
John_of_Perugia_and_Peter_of_Sassoferrato,,,,,wikipedia as interpreted by spellsoftruth
John_of_Pskov,,,,,wikipedia as interpreted by spellsoftruth
John_of_Pulsano,,,,,wikipedia as interpreted by spellsoftruth
John_of_Rila,,,,,wikipedia as interpreted by spellsoftruth
John_of_Ruysbroeck,,,,,wikipedia as interpreted by spellsoftruth
John_of_Sahag%C3%BAn,,,,,wikipedia as interpreted by spellsoftruth
John_of_Sahagun,,,,,wikipedia as interpreted by spellsoftruth
John_of_Senhout,,,,,wikipedia as interpreted by spellsoftruth
John_of_Shanghai_and_San_Francisco,,,,,wikipedia as interpreted by spellsoftruth
John_of_Tobolsk,,,,,wikipedia as interpreted by spellsoftruth
John_of_Trogir,,,,,wikipedia as interpreted by spellsoftruth
John_of_Vercelli,,,,,wikipedia as interpreted by spellsoftruth
John_of_the_Cross,,,,,wikipedia as interpreted by spellsoftruth
John_of_the_Grating,,,,,wikipedia as interpreted by spellsoftruth
John_the_Almsgiver,,,,,wikipedia as interpreted by spellsoftruth
John_the_Apostle,,,,,wikipedia as interpreted by spellsoftruth
John_the_Baptist,,,,,wikipedia as interpreted by spellsoftruth
John_the_Dwarf,,,,,wikipedia as interpreted by spellsoftruth
John_the_Evangelist,,,,,wikipedia as interpreted by spellsoftruth
John_the_Good_(bishop_of_Milan),,,,,wikipedia as interpreted by spellsoftruth
John_the_Hairy,,,,,wikipedia as interpreted by spellsoftruth
John_the_Iberian,,,,,wikipedia as interpreted by spellsoftruth
John_the_Merciful,,,,,wikipedia as interpreted by spellsoftruth
John_the_Silent,,,,,wikipedia as interpreted by spellsoftruth
Jolenta_of_Poland,,,,,wikipedia as interpreted by spellsoftruth
Jonah_of_Hankou,,,,,wikipedia as interpreted by spellsoftruth
Jonah_of_Manchuria,,,,,wikipedia as interpreted by spellsoftruth
Jonah_of_Moscow,,,,,wikipedia as interpreted by spellsoftruth
Jonathan_Daniels,,,,,wikipedia as interpreted by spellsoftruth
Jordan_of_Pisa,,,,,wikipedia as interpreted by spellsoftruth
Jordan_of_Saxony,,,,,wikipedia as interpreted by spellsoftruth
Jos%C3%A9_Gregorio_Hern%C3%A1ndez,,,,,wikipedia as interpreted by spellsoftruth
Jos%C3%A9_Mar%C3%ADa_Robles_Hurtado,,,,,wikipedia as interpreted by spellsoftruth
Jos%C3%A9_Mar%C3%ADa_Rubio,,,,,wikipedia as interpreted by spellsoftruth
Jos%C3%A9_Maria_de_Yermo_y_Parres,,,,,wikipedia as interpreted by spellsoftruth
Jos%C3%A9_S%C3%A1nchez_del_R%C3%ADo,,,,,wikipedia as interpreted by spellsoftruth
Josaphat_Chichkov,,,,,wikipedia as interpreted by spellsoftruth
Josaphat_Kotsylovsky,,,,,wikipedia as interpreted by spellsoftruth
Josaphat_Kuntsevych,,,,,wikipedia as interpreted by spellsoftruth
Josaphata_Michaelina_Hordashevska,,,,,wikipedia as interpreted by spellsoftruth
Jose_Diaz_Sanjurjo,,,,,wikipedia as interpreted by spellsoftruth
Jose_Gabriel_del_Rosario_Brochero,,,,,wikipedia as interpreted by spellsoftruth
Jose_Isabel,,,,,wikipedia as interpreted by spellsoftruth
Josemar%C3%ADa_Escriv%C3%A1,,,,,wikipedia as interpreted by spellsoftruth
Josemaria_Escriva_de_Balaguer,,,,,wikipedia as interpreted by spellsoftruth
Josep_Manyanet_i_Vives,,,,,wikipedia as interpreted by spellsoftruth
Josep_Manyanet_y_Vives,,,,,wikipedia as interpreted by spellsoftruth
Joseph-Mary_Rubio_y_Peralta,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Abibos,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Allamano,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Cafasso,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Calasanctius,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Calasanz,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Freinademetz,,,,,wikipedia as interpreted by spellsoftruth
Joseph_G%C3%A9rard,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Hien_Quang_Do,,,,,wikipedia as interpreted by spellsoftruth
Joseph_I_of_Constantinople,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Khang,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Kugler,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Marchand,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Marello,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Mary_Tomasi,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Mukasa,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Mukasa_Balikuddembe,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Nascimbeni,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Oriol,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Pignatelli,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Thi_Dang_Le,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Vaz,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Vien_Dinh_Dang,,,,,wikipedia as interpreted by spellsoftruth
Joseph_Volotsky,,,,,wikipedia as interpreted by spellsoftruth
Joseph_of_Anchieta,,,,,wikipedia as interpreted by spellsoftruth
Joseph_of_Arimathea,,,,,wikipedia as interpreted by spellsoftruth
Joseph_of_Cupertino,,,,,wikipedia as interpreted by spellsoftruth
Joseph_of_Damascus,,,,,wikipedia as interpreted by spellsoftruth
Joseph_of_Leonessa,,,,,wikipedia as interpreted by spellsoftruth
Joseph_of_Leonissa,,,,,wikipedia as interpreted by spellsoftruth
Joseph_of_Tiberias,,,,,wikipedia as interpreted by spellsoftruth
Joseph_of_Volokolamsk,,,,,wikipedia as interpreted by spellsoftruth
Joseph_the_Confessor,,,,,wikipedia as interpreted by spellsoftruth
Joseph_the_Hymnographer,,,,,wikipedia as interpreted by spellsoftruth
Josephine_Bakhita,,,,,wikipedia as interpreted by spellsoftruth
Josephine_Leroux,,,,,wikipedia as interpreted by spellsoftruth
Joshua_the_Stylite,,,,,wikipedia as interpreted by spellsoftruth
Jovinian,,,,,wikipedia as interpreted by spellsoftruth
Jozef_Bilczewski,,,,,wikipedia as interpreted by spellsoftruth
Juan_Diego,,,,,wikipedia as interpreted by spellsoftruth
Juan_Garc%C3%ADa_L%C3%B3pez-Rico,,,,,wikipedia as interpreted by spellsoftruth
Juan_Grande_Rom%C3%A1n,,,,,wikipedia as interpreted by spellsoftruth
Juan_Nepomuceno_Zegr%C3%AD_Moreno,,,,,wikipedia as interpreted by spellsoftruth
Juan_de_Castillo_(Jesuit),,,,,wikipedia as interpreted by spellsoftruth
Juan_de_Ortega_(hermit),,,,,wikipedia as interpreted by spellsoftruth
Juan_de_Ribera,,,,,wikipedia as interpreted by spellsoftruth
Juana_Mar%C3%ADa_Condesa_Lluch,,,,,wikipedia as interpreted by spellsoftruth
Judas_Cyriacus,,,,,wikipedia as interpreted by spellsoftruth
Jude_the_Apostle,,,,,wikipedia as interpreted by spellsoftruth
Judoc,,,,,wikipedia as interpreted by spellsoftruth
Julia_Chester_Emery,,,,,wikipedia as interpreted by spellsoftruth
Julia_of_Corsica,,,,,wikipedia as interpreted by spellsoftruth
Julia_of_Merida,,,,,wikipedia as interpreted by spellsoftruth
Julian_Maunoir,,,,,wikipedia as interpreted by spellsoftruth
Julian_and_Basilissa,,,,,wikipedia as interpreted by spellsoftruth
Julian_of_Antioch,,,,,wikipedia as interpreted by spellsoftruth
Julian_of_Cuenca,,,,,wikipedia as interpreted by spellsoftruth
Julian_of_Le_Mans,,,,,wikipedia as interpreted by spellsoftruth
Julian_of_Mesopotamia,,,,,wikipedia as interpreted by spellsoftruth
Julian_of_Sora,,,,,wikipedia as interpreted by spellsoftruth
Julian_of_Toledo,,,,,wikipedia as interpreted by spellsoftruth
Juliana_Falconieri,,,,,wikipedia as interpreted by spellsoftruth
Juliana_of_Falconieri,,,,,wikipedia as interpreted by spellsoftruth
Juliana_of_Lazarevo,,,,,wikipedia as interpreted by spellsoftruth
Juliana_of_Li%C3%A8ge,,,,,wikipedia as interpreted by spellsoftruth
Juliana_of_Mount_Cornillon,,,,,wikipedia as interpreted by spellsoftruth
Juliana_of_Nicomedia,,,,,wikipedia as interpreted by spellsoftruth
Juliana_of_Norwich,,,,,wikipedia as interpreted by spellsoftruth
Julie_Billiart,,,,,wikipedia as interpreted by spellsoftruth
Julitta,,,,,wikipedia as interpreted by spellsoftruth
Julitta_(Cornwall),,,,,wikipedia as interpreted by spellsoftruth
Julius_and_Aaron,,,,,wikipedia as interpreted by spellsoftruth
Julius_of_Dorostorum,,,,,wikipedia as interpreted by spellsoftruth
Julius_of_Novara,,,,,wikipedia as interpreted by spellsoftruth
Julius_of_Rome,,,,,wikipedia as interpreted by spellsoftruth
Julius_the_Veteran,,,,,wikipedia as interpreted by spellsoftruth
Jun%C3%ADpero_Serra,,,,,wikipedia as interpreted by spellsoftruth
Junia_(New_Testament_person),,,,,wikipedia as interpreted by spellsoftruth
Junian_of_Mair%C3%A9,,,,,wikipedia as interpreted by spellsoftruth
Jurgis_Matulaitis-Matulevi%C4%8Dius,,,,,wikipedia as interpreted by spellsoftruth
"Justa,_Justina_and_Henedina",,,,,wikipedia as interpreted by spellsoftruth
Justa_and_Rufina,,,,,wikipedia as interpreted by spellsoftruth
Justin_Martyr,,,,,wikipedia as interpreted by spellsoftruth
Justin_Popovi%C4%87,,,,,wikipedia as interpreted by spellsoftruth
Justin_de_Jacobis,,,,,wikipedia as interpreted by spellsoftruth
Justin_of_Chieti,,,,,wikipedia as interpreted by spellsoftruth
Justin_of_Siponto,,,,,wikipedia as interpreted by spellsoftruth
Justin_the_Confessor,,,,,wikipedia as interpreted by spellsoftruth
Justina_of_Padua,,,,,wikipedia as interpreted by spellsoftruth
Justinian_I,,,,,wikipedia as interpreted by spellsoftruth
Justinian_of_Ramsey_Island,,,,,wikipedia as interpreted by spellsoftruth
Justino_Orona_Madrigal,,,,,wikipedia as interpreted by spellsoftruth
Justus,,,,,wikipedia as interpreted by spellsoftruth
Justus_and_Pastor,,,,,wikipedia as interpreted by spellsoftruth
Justus_of_Beauvais,,,,,wikipedia as interpreted by spellsoftruth
Justus_of_Trieste,,,,,wikipedia as interpreted by spellsoftruth
Justus_of_Urgell,,,,,wikipedia as interpreted by spellsoftruth
Jutta_of_Diessenberg,,,,,wikipedia as interpreted by spellsoftruth
Jutta_of_Kulmsee,,,,,wikipedia as interpreted by spellsoftruth
Juvenal_Ancina,,,,,wikipedia as interpreted by spellsoftruth
Juvenal_of_Benevento,,,,,wikipedia as interpreted by spellsoftruth
Juvenal_of_Jerusalem,,,,,wikipedia as interpreted by spellsoftruth
Juvenal_of_Narni,,,,,wikipedia as interpreted by spellsoftruth
Juvenaly_of_Alaska,,,,,wikipedia as interpreted by spellsoftruth
Juventinus,,,,,wikipedia as interpreted by spellsoftruth
Juventinus_and_Maximinus,,,,,wikipedia as interpreted by spellsoftruth
Juventius_of_Pavia,,,,,wikipedia as interpreted by spellsoftruth
Kaleb_of_Axum,,,,,wikipedia as interpreted by spellsoftruth
Kalliopi_(martyr),,,,,wikipedia as interpreted by spellsoftruth
Kamehameha_IV,,,,,wikipedia as interpreted by spellsoftruth
Kamen_Vitchev,,,,,wikipedia as interpreted by spellsoftruth
Karl_Leisner,,,,,wikipedia as interpreted by spellsoftruth
Kaspar_Stanggassinger,,,,,wikipedia as interpreted by spellsoftruth
Kassia,,,,,wikipedia as interpreted by spellsoftruth
Kateri_Tekakwitha,,,,,wikipedia as interpreted by spellsoftruth
Katharine_Drexel,,,,,wikipedia as interpreted by spellsoftruth
Katherine_Drexel,,,,,wikipedia as interpreted by spellsoftruth
Kentigerna,,,,,wikipedia as interpreted by spellsoftruth
Kerrill,,,,,wikipedia as interpreted by spellsoftruth
Kessog,,,,,wikipedia as interpreted by spellsoftruth
Ketevan_the_Martyr,,,,,wikipedia as interpreted by spellsoftruth
Kevin_of_Glendalough,,,,,wikipedia as interpreted by spellsoftruth
Keyne,,,,,wikipedia as interpreted by spellsoftruth
Khosrovidukht_(sister_of_Tiridates_III_of_Armenia),,,,,wikipedia as interpreted by spellsoftruth
Kieran_the_Younger,,,,,wikipedia as interpreted by spellsoftruth
King_of_Scotland,,,,,wikipedia as interpreted by spellsoftruth
King_of_the_English,,,,,wikipedia as interpreted by spellsoftruth
Kinga_of_Poland,,,,,wikipedia as interpreted by spellsoftruth
Kingdom_of_Italy,,,,,wikipedia as interpreted by spellsoftruth
Kirill_of_Beloozero,,,,,wikipedia as interpreted by spellsoftruth
Kirill_of_Turov,,,,,wikipedia as interpreted by spellsoftruth
Kizito,,,,,wikipedia as interpreted by spellsoftruth
Konstanti_Kakhi,,,,,wikipedia as interpreted by spellsoftruth
Kristos_Samra,,,,,wikipedia as interpreted by spellsoftruth
Kuksha_of_Odessa,,,,,wikipedia as interpreted by spellsoftruth
Kuksha_of_the_Kiev_Caves,,,,,wikipedia as interpreted by spellsoftruth
Kundegunda,,,,,wikipedia as interpreted by spellsoftruth
Kunigunde_of_Rapperswil,,,,,wikipedia as interpreted by spellsoftruth
Kuriakose_Elias_Chavara,,,,,wikipedia as interpreted by spellsoftruth
Kyneburga,,,,,wikipedia as interpreted by spellsoftruth
"Kyneburga,_Kyneswide_and_Tibba",,,,,wikipedia as interpreted by spellsoftruth
Kyrion_II_of_Georgia,,,,,wikipedia as interpreted by spellsoftruth
Kyros_of_Constantinople,,,,,wikipedia as interpreted by spellsoftruth
L%C3%A1szl%C3%B3_Batthy%C3%A1ny-Strattmann,,,,,wikipedia as interpreted by spellsoftruth
Ladislaus_I_of_Hungary,,,,,wikipedia as interpreted by spellsoftruth
Laetus,,,,,wikipedia as interpreted by spellsoftruth
Lambert_of_Maastricht,,,,,wikipedia as interpreted by spellsoftruth
